lineage,wholabel
B.1.1.7,Alpha
Q,Alpha
B.1.351,Beta
B.1.1.28.1,Gamma
P.1,Gamma
B.1.617.2,Delta
AY,Delta
B.1.427,Epsilon
B.1.429,Epsilon
B.1.1.28.2,Zeta
P.2,Zeta
B.1.525,Eta
B.1.1.28.3,Theta
P.3,Theta
B.1.526,Iota
B.1.617.1,Kappa
B.1.1.1.37,Lambda
C.37,Lambda
B.1.621,Mu
BB,Mu
XBB,Omicron
B.1.1.529,Omicron
BA,Omicron
BC,Omicron
BD,Omicron
BE,Omicron
BF,Omicron
BG,Omicron
BH,Omicron
BJ,Omicron
BK,Omicron
BL,Omicron
BM,Omicron
BN,Omicron
BP,Omicron
BQ,Omicron
BR,Omicron
BS,Omicron
BT,Omicron
BU,Omicron
BV,Omicron
BW,Omicron
BY,Omicron
BZ,Omicron
CA,Omicron
CB,Omicron
CC,Omicron
CD,Omicron
CE,Omicron
CF,Omicron
CG,Omicron
CH,Omicron
CJ,Omicron
CK,Omicron
CL,Omicron
CM,Omicron
CN,Omicron
CP,Omicron
CQ,Omicron
CR,Omicron
CS,Omicron
CT,Omicron
CU,Omicron
CV,Omicron
CW,Omicron
CY,Omicron
CZ,Omicron
DA,Omicron
DB,Omicron
DC,Omicron
DD,Omicron
DE,Omicron
DF,Omicron
DG,Omicron
DH,Omicron
DJ,Omicron
DK,Omicron
DL,Omicron
DM,Omicron
DN,Omicron
DP,Omicron
DQ,Omicron
DR,Omicron
DS,Omicron
DT,Omicron
DU,Omicron
DV,Omicron
DW,Omicron
DY,Omicron
DZ,Omicron
EA,Omicron
EB,Omicron
EC,Omicron
ED,Omicron
EE,Omicron
EF,Omicron
EG,Omicron
EH,Omicron
EJ,Omicron
EK,Omicron
EL,Omicron
EM,Omicron
EN,Omicron
EP,Omicron
EQ,Omicron
ER,Omicron
ES,Omicron
ET,Omicron
EU,Omicron
EV,Omicron
EW,Omicron
EY,Omicron
EZ,Omicron
FA,Omicron
FB,Omicron
FC,Omicron
FD,Omicron
FE,Omicron
FF,Omicron
FG,Omicron
FH,Omicron
FJ,Omicron
FK,Omicron
FL,Omicron
FM,Omicron
FN,Omicron
FP,Omicron
FQ,Omicron
FR,Omicron
FS,Omicron
FT,Omicron
FU,Omicron
FV,Omicron
FW,Omicron
FY,Omicron
FZ,Omicron
GA,Omicron
GB,Omicron
GC,Omicron
GD,Omicron
GE,Omicron
GF,Omicron
GG,Omicron
GH,Omicron
GJ,Omicron
GK,Omicron
GM,Omicron
GN,Omicron
GP,Omicron
GQ,Omicron
GR,Omicron
GS,Omicron
GU,Omicron
GV,Omicron
GW,Omicron
GY,Omicron
GZ,Omicron
HA,Omicron
HB,Omicron
HC,Omicron
HD,Omicron
HE,Omicron
HF,Omicron
HG,Omicron
HH,Omicron
HJ,Omicron
HK,Omicron
HL,Omicron
HM,Omicron
HN,Omicron
HP,Omicron
HQ,Omicron
HR,Omicron
HS,Omicron
HT,Omicron
HU,Omicron
HV,Omicron
HY,Omicron
HZ,Omicron
JA,Omicron
JB,Omicron
JC,Omicron
JD,Omicron
JE,Omicron
JF,Omicron
JG,Omicron
JH,Omicron
JJ,Omicron
JK,Omicron
JL,Omicron
JM,Omicron
JN,Omicron
JP,Omicron
JQ,Omicron
JR,Omicron
JS,Omicron
JU,Omicron
JV,Omicron
JW,Omicron
JY,Omicron
JZ,Omicron
KA,Omicron
KB,Omicron
KC,Omicron
KE,Omicron
KF,Omicron
KG,Omicron
KH,Omicron
KJ,Omicron
KK,Omicron
KL,Omicron
KM,Omicron
KN,Omicron
KP,Omicron
KQ,Omicron
KR,Omicron
KS,Omicron
KT,Omicron
KU,Omicron
KV,Omicron
KW,Omicron
KY,Omicron
KZ,Omicron
LA,Omicron
LB,Omicron
LC,Omicron
LD,Omicron
LE,Omicron
LF,Omicron
LG,Omicron
LH,Omicron
LJ,Omicron
LK,Omicron
LL,Omicron
LM,Omicron
LN,Omicron
LP,Omicron
LQ,Omicron
LR,Omicron
LS,Omicron
LT,Omicron
LU,Omicron
LV,Omicron
LW,Omicron
LY,Omicron
LZ,Omicron
MA,Omicron
MB,Omicron
MC,Omicron
MD,Omicron
ME,Omicron
MF,Omicron
MG,Omicron
MH,Omicron
MJ,Omicron
MK,Omicron
ML,Omicron
MM,Omicron
MN,Omicron
MP,Omicron
MQ,Omicron
MR,Omicron
MS,Omicron
MT,Omicron
MU,Omicron
MV,Omicron
MW,Omicron
MY,Omicron
XDP,Omicron
XDQ,Omicron
XDV,Omicron
XEC,Omicron
